title,year,director,duration,cast,genre
Tapeheads,1988,Bill Fishman,93,"Doug McClure, Connie Stevens, Clu Gulager",Comedy  •  Farce  •  Media Satire
Chang: A Drama of the Wilderness,1927,"Merian C. Cooper, Ernest B. Schoedsack",69,"Kru, Chantui, Nah",Documentary  •  History  •  Silent Film
The Survivors,1983,Michael Ritchie,103,"Walter Matthau, Robin Williams, Jerry Reed",Comedy  •  Comedy of Manners  •  Hitman / Assassin Film
A Cinderella Story,2004,Mark Rosman,95,"Simon Helberg, Brad Bufanda, J.D. Pardo",Comedy  •  Teen Movie  •  Romantic Comedy
Bully,2011,Lee Hirsch,94,NA,Culture and Society  •  Documentary  •  Social Issues
Girl with Hyacinths,1950,Hasse Ekman,89,"Eva Henning, Ulf Palme, Birgit Tengroth",Drama  •  Foreign Language Film  •  Mystery
Humanity and Paper Balloons,1937,Sadao Yamanaka,86,"Chojuro Kawarasaki, Kan'emon Nakamura, Tsuruzo Nakamura",Drama  •  Foreign Language Film  •  Samurai Film
Milk,2008,Semih Kaplanoglu,102,"Melih Selcuk, Basak Köklükaya, Riza Akin",Drama  •  Foreign Language Film
Main Hoon Na,2004,Farah Khan,179,"Shah Rukh Khan, Sushmita Sen, Sunil Shetty",Action Comedy  •  Action  •  Bollywood
Return of the One Armed Swordsman,1969,Cheh Chang,101,"Jimmy Wang Yu, Chiao Chiao, Feng Tien",Action  •  Adventure  •  Foreign Language Film
Curtains,1983,Richard Ciupka,89,"John Vernon, Samantha Eggar, Linda Thorson",Canuxploitation  •  Crime Drama  •  Crime Thriller
Grace of My Heart,1996,Allison Anders,116,"Illeana Douglas, Sissy Boyd, Christina Pickles",Drama  •  Feminist Film  •  Female-Directed Film
Hector and the Search for Happiness,2014,Peter Chelsom,120,"Simon Pegg, Rosamund Pike, Stellan Skarsgård",Adventure  •  Adventure Comedy  •  Comedy
The Cassandra Crossing,1977,George P. Cosmatos,129,"Sophia Loren, Richard Harris, Martin Sheen",Action Thriller  •  Action  •  Disaster Film
Star Tours,1987,Dennis Muren,3,"Kenny Baker (II), Anthony Daniels, Peter Mayhew",Adventure  •  Science Fiction  •  Short Film
Spring,1909,Louis Feuillade,12,NA,Short Film  •  Silent Film
By Indian Post,1919,John Ford,20,"Pete Morrison, Duke R. Lee, Magda Lane",Short Film  •  Silent Film  •  Western
Rawhead Rex,1986,George Pavlou,89,"David Dukes, Kelly Piper, Niall Toibin",Based-on-20th-Century-Literature  •  Horror  •  Monster Film
It's Such A Beautiful Day,2011,Don Hertzfeldt,23,Don Hertzfeldt,Animation  •  Avant-garde / Experimental  •  Comedy Drama
Snow Cake,2006,Marc Evans,112,"Alan Rickman, Carrie-Anne Moss, Emily Hampshire",Drama  •  Psychological Drama
Night of the Demons 2,1994,Brian Trenchard-Smith,96,"Christine Taylor, Bobby Jacoby, Merle Kennedy",Comedy  •  Horror  •  Horror Comedy
The Starfish,1928,Man Ray,17,"Alice Prin, André de la Rivière, Robert Desnos",Avant-garde / Experimental  •  Short Film  •  Silent Film
The Batman vs Dracula: The Animated Movie,2005,Michael Goguen,83,"Rino Romano, Alastair Duncan, Kevin Michael Richardson",Action  •  Action Thriller  •  Animation
Back to the Beach,1987,Lyndall Hobbs,92,"Annette Funicello, Connie Stevens, Lori Loughlin",Beach Party Film  •  Comedy  •  Musical Comedy
Canyon Passage,1946,Jacques Tourneur,92,"Dana Andrews, Brian Donlevy, Susan Hayward",Action  •  Romance  •  Traditional Western
The Woman King,2022,Gina Prince-Bythewood,135,"Viola Davis, Thuso Mbedu, Lashana Lynch",Action  •  Drama  •  Epic
Comradeship,1931,Georg Wilhelm Pabst,93,"Alexander Granach, Fritz Kampers, Ernst Busch",Docudrama  •  Drama  •  Foreign Language Film
Breakout,1975,Tom Gries,96,"Charles Bronson, Randy Quaid, Sheree North",Action Thriller  •  Action  •  Escape Film
A Photographic Contortion,1901,James Williamson,1,Sam Dalton,Comedy  •  Short Film  •  Silent Film
Butch and Sundance: The Early Days,1979,Richard Lester,115,"William Katt, Tom Berenger, Jeff Corey",Buddy Film  •  Comedy Western  •  Western
The Rachel Papers,1989,Damian Harris,95,"Dexter Fletcher, Ione Skye, James Spader",Comedy  •  Romance  •  Romantic Comedy
The Miracle Woman,1931,Frank Capra,90,"Barbara Stanwyck, David Manners, Sam Hardy",Drama  •  Religious Drama
The Battle of San Pietro,1945,John Huston,32,"Mark W. Clark, John Huston",Documentary  •  History  •  Military and War
The Cardinal,1963,Otto Preminger,175,"Carol Lynley, Romy Schneider, Tom Tryon",Drama  •  Religious Drama
Blind Justice,1916,Benjamin Christensen,100,"Benjamin Christensen, Karen Caspersen, Peter Fjelstrup",Drama  •  Mystery  •  Silent Film
The Railway Children,1970,Lionel Jeffries,109,"Dinah Sheridan, Bernard Cribbins, Jenny Agutter",Drama  •  Family Drama  •  Period Film
Sssssss,1973,Bernard L. Kowalski,99,"Strother Martin, Dirk Benedict, Heather Menzies-Urich",Body Horror  •  Horror  •  Natural Horror
The Hawks and Sparrows,1966,Pier Paolo Pasolini,89,"Toto, Ninetto Davoli, Femi Benussi",Comedy  •  Foreign Language Film  •  Political Satire
The Strong Man,1926,Frank Capra,75,"Harry Langdon, Priscilla Bonner, Gertrude Astor",Comedy  •  Romance  •  Romantic Comedy
Desperate Journey,1942,Raoul Walsh,107,"Errol Flynn, Ronald Reagan, Alan Hale",Adventure  •  Combat Films  •  Drama
The Cinema Murder,1919,George D. Baker,60,"Reginald Barlow, Nigel Barrie, Marion Davies",Drama  •  Romance  •  Romantic Drama
The Mayor of Hell,1933,Archie Mayo,90,"Frankie Darro, James Cagney, Madge Evans",Crime  •  Drama  •  Gangster Film
It's Love I'm After,1937,Archie Mayo,90,"Leslie Howard, Bette Davis, Olivia de Havilland",Comedy  •  Romance  •  Romantic Comedy
Ballot Box Bunny,1951,Friz Freleng,8,NA,Animation  •  Cartoon  •  Comedy
The Cowboy Way,1994,Gregg Champion,102,"Woody Harrelson, Kiefer Sutherland, Dylan McDermott",Action  •  Comedy  •  Buddy Film
"The Wonderful, Horrible Life of Leni Riefenstahl",1993,Ray Müller,180,"Leni Riefenstahl, Horst Kettner",Biography  •  Documentary  •  Foreign Language Film
Breezy,1973,Clint Eastwood,108,"William Holden, Kay Lenz, Marj Dusay",Drama  •  Romance  •  Romantic Drama
30:Minutes or Less,2011,Ruben Fleischer,83,"Jesse Eisenberg, Danny McBride, Aziz Ansari",Action  •  Action Comedy  •  Comedy
Next Friday,2000,Steve Carr,98,"Ice Cube, Mike Epps, Tamala Jones",Comedy  •  Urban Comedy
Thirst,1949,Ingmar Bergman,83,"Eva Henning, Birger Malmsten, Birgit Tengroth",Drama  •  Foreign Language Film  •  Marriage Drama
Sgt. Bilko,1996,Jonathan Lynn,93,"Steve Martin, Phil Hartman, Stephan Benseman",Based-on-Television  •  Comedy  •  Family-Oriented Comedy
Max Dugan Returns,1983,Herbert Ross,98,"Jason Robards, Marsha Mason, Donald Sutherland",Comedy Drama  •  Domestic Comedy  •  Drama
Diamonds of the Night,1964,Jan Nemec,63,"Ladislav Jánsky, Antonín Kumbera, Irma Bischofova",Czechoslovak New Wave  •  Drama  •  Escape Film
I Drink Your Blood,1970,David E. Durston,90,"Bhaskar Roy Chowdhury, Jadine Wong, Rhonda Fultz",Exploitation Film  •  Horror
A House Divided,1913,Alice Guy,13,"Fraunie Fraunholz, Marian Swayne",Comedy  •  Female-Directed Film  •  Short Film
Ivan Vasilievich: Back to the Future,1973,Leonid Gayday,93,"Aleksandr Demyanenko, Yuriy Yakovlev, Leonid Kuravlyov",Comedy of Errors  •  Comedy  •  Foreign Language Film
Promised Land,2012,Gus Van Sant,106,"Matt Damon, John Krasinski, Frances McDormand",Drama  •  Political Drama
The Holy Mountain,1926,Arnold Fanck,100,"Leni Riefenstahl, Luis Trenker, Ernst Petersen",Adventure Drama  •  Adventure  •  Drama
That Fatal Sneeze,1907,Lewin Fitzhamon,6,NA,Comedy  •  Short Film  •  Silent Film
Fast Food Nation,2006,Richard Linklater,116,"Patricia Arquette, Ethan Hawke, Ashley Johnson",Americana  •  Comedy Drama  •  Drama
Seminary Girls,1897,James H. White,1,NA,Comedy  •  Short Film  •  Silent Film
Ghostbusters,2016,Paul Feig,116,"Melissa McCarthy, Kristen Wiig, Kate McKinnon",Action Comedy  •  Action  •  Comedy
Bitter Reunion,1958,Claude Chabrol,98,"Gérard Blain, Jean-Claude Brialy, Michèle Méritz",Drama  •  Foreign Language Film  •  French New Wave
Open Hearts,2002,Susanne Bier,113,"Mads Mikkelsen, Sonja Richter, Nikolaj Lie Kaas",Dogme 95  •  Drama  •  Female-Directed Film
Shaft,2000,John Singleton,99,"Vanessa L. Williams, Christian Bale, Toni Collette",Action  •  Action Thriller  •  Crime
Delirium in a Studio,1907,Georges Méliès,2,"Georges Melies, Manuel",Short Film  •  Silent Film
Now or Never,1921,"Fred C. Newmeyer, Hal Roach",35,"Harold Lloyd, Mildred Davis, Anna Mae Bilson",Comedy  •  Short Film  •  Silent Film
No Escape,2015,John Erick Dowdle,103,"Pierce Brosnan, Owen Wilson, Lake Bell",Action Thriller  •  Action  •  Escape Film
Godzilla vs. Megaguirus,2000,Masaaki Tezuka,105,"Misato Tanaka, Shôsuke Tanihara, Masato Ibu",Action  •  Action Thriller  •  Foreign Language Film
The Big Snooze,1946,Robert Clampett,7,NA,Animation  •  Cartoon  •  Comedy
Lights Out,2016,David F. Sandberg,81,"Teresa Palmer, Gabriel Bateman, Alexander DiPersia",Horror  •  Supernatural Horror
The Caddy,1953,Norman Taurog,95,"Dean Martin, Jerry Lewis, Donna Reed",Comedy  •  Musical  •  Musical Comedy
Surf's Up,2007,"Ash Brannon, Chris Buck",85,"Zooey Deschanel, Jon Heder, Jeff Bridges",Animation  •  Comedy  •  Family-Oriented Comedy
Riders of Justice,2020,Anders Thomas Jensen,116,"Mads Mikkelsen, Nikolaj Lie Kaas, Andrea Heick Gadeberg",Action Comedy  •  Action Thriller  •  Action
Macao,1952,Josef von Sternberg,81,"Robert Mitchum, Jane Russell, William Bendix",Adventure Drama  •  Adventure  •  Crime Drama
Mosquinha,1890,Étienne-Jules Marey,1,NA,Documentary  •  Short Film  •  Silent Film
Hellboy Animated: Blood and Iron,2007,"Victor Cook, Tad Stones",75,"Selma Blair, Doug Jones, John Hurt",Action  •  Animation  •  Based-on-Comics
Haredevil Hare,1948,Chuck Jones,7,NA,Animation  •  Cartoon  •  Comedy
Stowaway,1936,William A. Seiter,87,"Shirley Temple, Robert Young, Alice Faye",Childhood Drama  •  Drama
Charlie Chan at the Opera,1936,H. Bruce Humberstone,68,"Warner Oland, Boris Karloff, Keye Luke",Crime  •  Crime Thriller  •  Detective Film
The Ballad of Jack & Rose,2005,Rebecca Miller,112,"Daniel Day-Lewis, Catherine Keener, Jena Malone",Coming-of-Age  •  Drama  •  Family Drama
Lady Jane,1986,Trevor Nunn,142,"Helena Bonham Carter, Cary Elwes, John Wood",Based-on-a-True-Story  •  Biopic  •  Drama
Analyze That,2002,Harold Ramis,96,"Billy Crystal, Lisa Kudrow, Joe Viterelli",Buddy Film  •  Comedy  •  Crime
Triple Trouble,1918,Charles Chaplin,23,"Charles Chaplin, Edna Purviance, Leo White",Comedy  •  Short Film  •  Silent Film
Dragon Ball Z: Battle of Gods,2013,Masahiro Hosoda,85,"Masako Nozawa, Koichi Yamadera, Masakazu Morita",Action  •  Animation  •  Anime
The Magnetic Telescope,1942,Dave Fleischer,8,"Bud Collyer, Joan Alexander, Julian Noa",Animation  •  Based-on-Comics  •  Cartoon
Transylvania 6-5000,1963,"Chuck Jones, Maurice Noble",7,"Mel Blanc, Ben Frommer, Julie Bennett",Animation  •  Cartoon  •  Comedy
Horrible Bosses 2,2014,Sean Anders,108,"Jason Bateman, Charlie Day, Jason Sudeikis",Comedy  •  Workplace Comedy
From Noon Till Three,1976,Frank D. Gilroy,99,"Charles Bronson, Douglas Fowley, Stan Haze",Comedy Western  •  Comedy  •  Romance
Hitchcock/Truffaut,2015,Kent Jones,80,"Mathieu Amalric, Alfred Hitchcock, François Truffaut",Documentary  •  Media Documentary
Addicted to Love,1997,Griffin Dunne,100,"Matthew Broderick, Kelly Preston, Tchéky Karyo",Black Comedy  •  Romance  •  Romantic Comedy
Freejack,1992,Geoff Murphy,110,"Emilio Estevez, Mick Jagger, Rene Russo",Action  •  Chase Movie  •  Cyberpunk / Tech Noir
Dead or Alive 2,2000,Takashi Miike,97,"Edison Chen, Riki Takeuchi, Shô Aikawa",Buddy Film  •  Crime Drama  •  Crime
A Family Thing,1996,Richard Pearce,109,"Michael Beach, Irma P. Hall, Robert Duvall",Drama  •  Family Drama
The Sound of Fury,1950,Cy Endfield,85,"Frank Lovejoy, Kathleen Ryan, Lloyd Bridges",Crime Drama  •  Crime  •  Drama
Ludwig,1973,Luchino Visconti,235,"Helmut Berger, Trevor Howard, Silvana Mangano",Based-on-a-True-Story  •  Biopic  •  Drama
"Deduce, You Say",1956,Chuck Jones,7,NA,Animation  •  Cartoon  •  Comedy
Planet Earth,2006,Alastair Fothergill,538,David Attenborough,Documentary  •  Made-for-Television  •  Mini-Series
So Dear To My Heart,1948,"Harold D. Schuster, Hamilton Luske",79,"Burl Ives, Beulah Bondi, Bobby Driscoll",Animal Picture  •  Animated Musical  •  Drama
Pirates of Silicon Valley,1999,Martyn Burke,95,"Noah Wyle, Joey Slotnick, Anthony Michael Hall",Based-on-a-True-Story  •  Biopic  •  Docudrama
The Sorcerer's Apprentice,2010,Jon Turteltaub,111,"Jay Baruchel, Teresa Palmer, Nicolas Cage",Adventure  •  Adventure Comedy  •  Comedy
Tango Tangles,1914,Mack Sennett,12,"Charles Chaplin, Ford Sterling, Roscoe 'Fatty' Arbuckle",Comedy  •  Short Film  •  Silent Film
Michael,1996,Nora Ephron,105,"Andie MacDowell, Robert Pastorelli, William Hurt",Comedy  •  Fantasy Comedy  •  Fantasy
Dragon Ball Z: Bojack Unbound,1993,Yoshihiro Ueda,50,"Masako Nozawa, Hiromi Tsuru, Daisuke Gouri",Action  •  Animation  •  Anime
Hellboy Animated: Sword of Storms,2006,"Phil Weinstein, Tad Stones",73,"Selma Blair, Doug Jones, Ron Perlman",Adventure  •  Animation  •  Based-on-Comics
Rip's Twenty Years' Sleep,1896,William K.L. Dickson,1,Joseph Jefferson,Based-on-19th-Century-Literature  •  Short Film  •  Silent Film
A Guide for the Married Man,1967,Gene Kelly,89,"Inger Stevens, Walter Matthau, Carl Reiner",Comedy  •  Domestic Comedy  •  Farce
Child's Play,1972,Sidney Lumet,100,"James Mason, Robert Preston, Beau Bridges",Drama  •  Mystery  •  Psychological Drama
Unknown,2006,Simon Brand,98,"Jim Caviezel, Greg Kinnear, Joe Pantoliano",Crime  •  Crime Drama  •  Crime Thriller
Grand Theft Auto,1977,Ron Howard,84,"Marion Ross, Peter Isacksen, Clint Howard",Action Comedy  •  Action  •  Adventure Comedy
The Punisher,1989,Mark Goldblatt,89,"Dolph Lundgren, Louis Gossett Jr., Jeroen Krabbé",Action  •  Action Thriller  •  Based-on-Comics
Wee Willie Winkie,1937,John Ford,100,"Shirley Temple, Victor McLaglen, C. Aubrey Smith",Adventure  •  Drama  •  Family
Aelita: Queen of Mars,1924,Yakov Protazanov,111,"Yuliya Solntseva, Igor Ilyinsky, Nikolai Tsereteli",Adventure  •  Adventure Drama  •  Drama
Camp Nowhere,1994,Jonathan Prince,96,"Melody Kay, Ray Baker, Maryedith Burrell",Comedy  •  Family-Oriented Comedy
Another Man's Poison,1951,Irving Rapper,90,"Bette Davis, Gary Merrill, Emlyn Williams",Based-on-Theatre  •  British Noir  •  Crime Drama
Jack Brooks: Monster Slayer,2007,Jon Knautz,85,"Robert Englund, Trevor Matthews, Daniel Kash",Action  •  Action Comedy  •  Comedy
Heckling Hare,1941,Tex Avery,7,Mel Blanc,Animation  •  Cartoon  •  Comedy
Police Academy 3: Back in Training,1986,Jerry Paris,83,"Steve Guttenberg, Bubba Smith, David Graf",Comedy  •  Crime  •  Crime Comedy
Santa Claus: The Movie,1985,Jeannot Szwarc,107,"Dudley Moore, John Lithgow, David Huddleston",Adventure  •  Family-Oriented Adventure  •  Family-Oriented Fantasy
Howard the Duck,1986,Willard Huyck,110,"Lea Thompson, Jeffrey Jones, Chip Zien",Action Comedy  •  Action  •  Alien Invasion Films
On a Clear Day You Can See Forever,1970,Vincente Minnelli,129,"Barbra Streisand, Bob Newhart, Larry Blyden",Comedy  •  Musical  •  Musical Comedy
56 Up,2012,"Michael Apted, Paul Almond",60,NA,Biography  •  Culture and Society  •  Documentary
The Thorn Birds,1983,Daryl Duke,477,"Richard Chamberlain, Stephanie Faracy, Christopher Plummer",Drama  •  Made-for-Television  •  Mini-Series
Little Rural Riding Hood,1949,Tex Avery,7,"Daws Butler, Colleen Collins, Pinto Colvig",Animation  •  Cartoon  •  Comedy
The World of Henry Orient,1964,George Roy Hill,106,"Peter Sellers, Angela Lansbury, Tippy Walker",Comedy Drama  •  Comedy of Manners  •  Coming-of-Age
The Time Machine,2002,Simon Wells,96,"Guy Pearce, Mark Addy, Orlando Jones",Action  •  Based-on-19th-Century-Literature  •  Post-Apocalyptic Film
Cars 3,2017,Brian Fee,109,"Owen Wilson, Cristela Alonzo, Chris Cooper",Animation  •  Comedy  •  Family-Oriented Comedy
What Have I Done to Deserve This?,1984,Pedro Almodóvar,101,"Carmen Maura, Luis Hostalot, Ángel de Andrés Lopez",Black Comedy  •  Comedy  •  Domestic Comedy
Bobby Bumps Starts for School,1917,Earl Hurd,5,NA,Animation  •  Short Film  •  Silent Film
